id,experiment,trial,manipulation,item,correct
id176,Experiment 1a,5,Test - Look,Tiger,1
id176,Experiment 1a,6,Test - Point,Sheep,1
id176,Experiment 1a,7,Test - Point + Label,Bear,1
id176,Experiment 1a,8,Test - Point + Label,Frog,0
id185,Experiment 1a,1,Test - Look,Mouse,1
id185,Experiment 1a,2,Test - Point + Label,Bunny,0
id185,Experiment 1a,3,Test - Look + Label,Cat,1
id185,Experiment 1a,4,Test - Look + Label,Tiger,0
id185,Experiment 1a,5,Test - Look,Sheep,1
id185,Experiment 1a,6,Test - Point,Dog,1
id185,Experiment 1a,7,Test - Point + Label,Pig,1
id185,Experiment 1a,8,Test - Point,Bear,0
id190,Experiment 1a,1,Test - Point,Bunny,1
id190,Experiment 1a,2,Test - Look,Frog,1
id190,Experiment 1a,3,Test - Look + Label,Tiger,1
id190,Experiment 1a,4,Test - Point + Label,Bear,1
id190,Experiment 1a,5,Test - Look,Mouse,0
id190,Experiment 1a,6,Test - Point,Dog,1
id190,Experiment 1a,7,Test - Point + Label,Sheep,1
id190,Experiment 1a,8,Test - Look + Label,Monkey,1
id193,Experiment 1a,1,Test - Point,Sheep,0
id193,Experiment 1a,2,Test - Point + Label,Mouse,1
id193,Experiment 1a,3,Test - Point,Tiger,1
id193,Experiment 1a,4,Test - Point + Label,Bear,1
id193,Experiment 1a,5,Test - Look,Dog,1
id193,Experiment 1a,6,Test - Look + Label,Monkey,0
id193,Experiment 1a,7,Test - Look + Label,Elephant,0
id193,Experiment 1a,8,Test - Look,Bunny,1
id195,Experiment 1a,1,Test - Point,Sheep,1
id195,Experiment 1a,2,Test - Look,Frog,1
id195,Experiment 1a,3,Test - Look + Label,Tiger,0
id195,Experiment 1a,4,Test - Point + Label,Elephant,1
id195,Experiment 1a,5,Test - Look,Monkey,1
id195,Experiment 1a,6,Test - Point,Mouse,1
id195,Experiment 1a,7,Test - Point + Label,Dog,1
id195,Experiment 1a,8,Test - Look + Label,Cat,1
id196,Experiment 1a,1,Test - Look + Label,Mouse,1
id196,Experiment 1a,2,Test - Look,Pig,0
id196,Experiment 1a,3,Test - Point + Label,Bunny,0
id196,Experiment 1a,4,Test - Point,Cat,0
id196,Experiment 1a,5,Test - Point,Monkey,1
id196,Experiment 1a,6,Test - Look,Tiger,0
id196,Experiment 1a,7,Test - Look + Label,Bear,0
id196,Experiment 1a,8,Test - Point + Label,Elephant,1
id197,Experiment 1a,1,Test - Point,Bunny,1
id197,Experiment 1a,2,Test - Look,Mouse,1
id197,Experiment 1a,3,Test - Point,Frog,1
id197,Experiment 1a,4,Test - Look + Label,Pig,1
id197,Experiment 1a,5,Test - Point + Label,Tiger,1
id197,Experiment 1a,6,Test - Look + Label,Dog,1
id197,Experiment 1a,7,Test - Point + Label,Sheep,1
id197,Experiment 1a,8,Test - Look,Elephant,1
id200,Experiment 1a,1,Test - Point + Label,Pig,1
id200,Experiment 1a,2,Test - Point + Label,Monkey,0
id200,Experiment 1a,3,Test - Point,Bear,0
id200,Experiment 1a,4,Test - Look + Label,Bunny,0
id200,Experiment 1a,5,Test - Look,Dog,1
id200,Experiment 1a,6,Test - Point,Elephant,1
id200,Experiment 1a,7,Test - Look + Label,Frog,1
id200,Experiment 1a,8,Test - Look,Tiger,1
id206,Experiment 1a,1,Test - Point + Label,Bunny,1
id206,Experiment 1a,2,Test - Point,Cat,0
id206,Experiment 1a,3,Test - Look + Label,Elephant,1
id206,Experiment 1a,4,Test - Point + Label,Pig,1
id206,Experiment 1a,5,Test - Point,Mouse,1
id206,Experiment 1a,6,Test - Look + Label,Dog,1
id206,Experiment 1a,7,Test - Look,Monkey,1
id206,Experiment 1a,8,Test - Look,Frog,1
id210,Experiment 1a,1,Test - Point,Bunny,1
id210,Experiment 1a,2,Test - Look,Bear,1
id210,Experiment 1a,3,Test - Point + Label,Frog,1
id210,Experiment 1a,4,Test - Look,Mouse,1
id210,Experiment 1a,5,Test - Point + Label,Dog,1
id210,Experiment 1a,6,Test - Point,Elephant,1
id210,Experiment 1a,7,Test - Look + Label,Monkey,1
id210,Experiment 1a,8,Test - Look + Label,Pig,1
id212,Experiment 1a,1,Test - Look,Cat,0
id212,Experiment 1a,2,Test - Point,Mouse,1
id212,Experiment 1a,3,Test - Look,Dog,0
id212,Experiment 1a,4,Test - Look + Label,Sheep,1
id212,Experiment 1a,5,Test - Point + Label,Pig,1
id212,Experiment 1a,6,Test - Point,Bunny,1
id212,Experiment 1a,7,Test - Look + Label,Bear,0
id212,Experiment 1a,8,Test - Point + Label,Frog,1
id218,Experiment 1a,1,Test - Look + Label,Pig,1
id218,Experiment 1a,2,Test - Look + Label,Bunny,1
id218,Experiment 1a,3,Test - Look,Mouse,1
id218,Experiment 1a,4,Test - Point + Label,Elephant,1
id218,Experiment 1a,5,Test - Point,Dog,1
id218,Experiment 1a,6,Test - Point + Label,Frog,1
id218,Experiment 1a,7,Test - Point,Bear,1
id218,Experiment 1a,8,Test - Look,Monkey,0
id226,Experiment 1a,1,Test - Look,Bunny,1
id226,Experiment 1a,2,Test - Point,Cat,1
id226,Experiment 1a,3,Test - Look + Label,Bear,0
id226,Experiment 1a,4,Test - Look + Label,Tiger,1
id226,Experiment 1a,5,Test - Point + Label,Frog,1
id226,Experiment 1a,6,Test - Point,Dog,1
id226,Experiment 1a,7,Test - Look,Elephant,1
id226,Experiment 1a,8,Test - Point + Label,Monkey,1
id227,Experiment 1a,1,Test - Point,Mouse,1
id227,Experiment 1a,2,Test - Point + Label,Bear,0
id227,Experiment 1a,3,Test - Look,Tiger,1
id227,Experiment 1a,4,Test - Point,Dog,1
id227,Experiment 1a,5,Test - Look,Bunny,0
id227,Experiment 1a,6,Test - Look + Label,Elephant,1
id227,Experiment 1a,7,Test - Look + Label,Monkey,1
id227,Experiment 1a,8,Test - Point + Label,Frog,0
id3,Experiment 1b,1,Test - Look,Cat,1
id3,Experiment 1b,2,Test - Look,Sheep,1
id3,Experiment 1b,3,Test - Look,Tiger,1
id3,Experiment 1b,4,Test - Look,Monkey,1
id3,Experiment 1b,5,Test - Look,Bear,1
id3,Experiment 1b,6,Test - Look,Dog,1
id3,Experiment 1b,7,Test - Look,Elephant,1
id3,Experiment 1b,8,Test - Look,Mouse,1
id62,Experiment 1b,1,Test - Look,Dog,1
id62,Experiment 1b,2,Test - Look,Sheep,1
id62,Experiment 1b,3,Test - Look,Monkey,1
id62,Experiment 1b,4,Test - Look,Mouse,1
id62,Experiment 1b,5,Test - Look,Bunny,1
id62,Experiment 1b,6,Test - Look,Tiger,1
id62,Experiment 1b,7,Test - Look,Bear,1
id62,Experiment 1b,8,Test - Look,Cat,0
id128,Experiment 1b,1,Test - Look,Bunny,1
id128,Experiment 1b,2,Test - Look,Monkey,0
id128,Experiment 1b,3,Test - Look,Tiger,0
id128,Experiment 1b,4,Test - Look,Frog,1
id128,Experiment 1b,5,Test - Look,Bear,0
id128,Experiment 1b,6,Test - Look,Pig,1
id128,Experiment 1b,7,Test - Look,Elephant,0
id128,Experiment 1b,8,Test - Look,Mouse,1
id134,Experiment 1b,1,Test - Look,Tiger,1
id134,Experiment 1b,2,Test - Look,Frog,1
id134,Experiment 1b,3,Test - Look,Mouse,1
id134,Experiment 1b,4,Test - Look,Elephant,1
id134,Experiment 1b,5,Test - Look,Pig,1
id134,Experiment 1b,6,Test - Look,Monkey,1
